no,title,year,note
51,E-ticaret yükselişi,1995,İnternet alışverişi
52,Bulut depolama,2007,Dijital arşiv
53,Akıllı telefon uygulamaları,2008,Mobil ekosistem
54,Tablet bilgisayarlar,2010,Mobil cihaz
55,QR kod kullanımı,2010,Dijital erişim
56,Temassız ödeme,2010,Ödeme teknolojisi
57,Podcast yaygınlaşması,2004,Dijital yayıncılık
58,E-kitap okuyucular,2007,Dijital okuma
59,Dijital fotoğraf makineleri,1990,Görüntü teknolojisi
60,USB-C standardı,2014,Bağlantı teknolojisi
61,4K yayınlar,2010,Görüntü teknolojisi
62,8K televizyonlar,2018,Görüntü teknolojisi
63,Akıllı ev cihazları,2014,Ev teknolojisi
64,Sanal gerçeklik cihazları,2016,Dijital deneyim
65,Artırılmış gerçeklik,2016,Dijital deneyim
66,Kablosuz kulaklıklar,2016,Tüketici elektroniği
67,Katlanabilir telefonlar,2019,Mobil cihaz
68,Hızlı şarj teknolojileri,2015,Mobil teknoloji
69,OLED ekran yaygınlaşması,2017,Görüntü teknolojisi
70,Mini LED ekranlar,2021,Görüntü teknolojisi
71,E-spor yaygınlaşması,2010,Dijital spor
72,Canlı yayın platformları,2011,Dijital medya
73,Kısa video platformları,2018,Sosyal medya
74,Dijital harita kullanımı,2005,Konum teknolojisi
75,Navigasyon uygulamaları,2008,Mobil teknoloji
