no,title,year,note
1,İlk web sitesi,1991,İnternet tarihi
2,Google kuruluşu,1998,Arama motoru tarihi
3,YouTube kuruluşu,2005,Video platformu
4,İlk iPhone,2007,Akıllı telefon tarihi
5,Android çıkışı,2008,Mobil işletim sistemi
6,Wikipedia açılışı,2001,Bilgi arşivi
7,Instagram kuruluşu,2010,Sosyal medya
8,WhatsApp kuruluşu,2009,Mesajlaşma
9,Telegram çıkışı,2013,Mesajlaşma
10,Spotify çıkışı,2008,Dijital müzik
11,Netflix kuruluşu,1997,Dijital medya
12,GitHub kuruluşu,2008,Yazılım geliştirme
13,Zoom kuruluşu,2011,Görüntülü görüşme
14,Apple kuruluşu,1976,Teknoloji şirketi
15,Microsoft kuruluşu,1975,Yazılım şirketi
16,Amazon kuruluşu,1994,E-ticaret tarihi
17,Facebook kuruluşu,2004,Sosyal ağ
18,Twitter çıkışı,2006,Mikroblog
19,Apple M1 çıkışı,2020,İşlemci tarihi
20,Apple Vision Pro tanıtımı,2023,Karma gerçeklik
21,ChatGPT çıkışı,2022,Yapay zekâ
22,Apple Intelligence duyurusu,2024,Yapay zekâ
23,İlk USB bellek,2000,Depolama
24,İlk laptop,1981,Taşınabilir bilgisayar
25,Wi-Fi yaygınlaşması,2000,Kablosuz internet
