no,title,year,note
76,Online eğitim,2020,Eğitim teknolojisi
77,Uzaktan çalışma araçları,2020,İş teknolojisi
78,Dijital takvimler,2010,Üretkenlik
79,Not alma uygulamaları,2012,Üretkenlik
80,Bulut not uygulamaları,2013,Dijital arşiv
81,Elektronik posta,1990,İletişim
82,Arama motorları,1990,İnternet tarihi
83,Forum siteleri,1995,Web kültürü
84,Blog kültürü,1999,Web yayıncılığı
85,Sosyal ağlar,2004,Dijital iletişim
86,Web analitik araçları,2005,Site yönetimi
87,SEO kavramı,1997,Arama optimizasyonu
88,Responsive tasarım,2010,Web tasarım
89,Web uygulamaları,2015,Web kullanımı
90,No-code araçları,2018,Web üretimi
91,Low-code araçları,2016,Yazılım üretimi
92,Dijital tasarım araçları,2020,Tasarım
93,Ses düzenleme araçları,2020,Dijital medya
94,Video düzenleme araçları,2020,Dijital medya
95,Kişisel web siteleri,1995,Web tarihi
96,Modern tarayıcılar,1995,Web kullanımı
97,Mobil internet,2007,Mobil kullanım
98,Uygulama mağazaları,2008,Mobil ekosistem
99,Dijital haritalar,2005,Konum teknolojisi
100,Çevrim içi arşivler,2001,Bilgi yönetimi
